! Original: https://adguardteam.github.io/HostlistsRegistry/assets/filter_59.txt
! Version: 1.0.18.55
! Last modified: 2026-08-23T06:26:38.970Z
! Transformed by: https://github.com/IgorKha/mikrotik-adlist
0.0.0.0 degreeeruptionpredator.com
0.0.0.0 supersedeaccolade.com
0.0.0.0 gamengirls.com
0.0.0.0 cno.jerkmate.net
0.0.0.0 arx8x.net
0.0.0.0 mercu-wgp.com
0.0.0.0 dzqxwy.com
0.0.0.0 ormatenqron.com
0.0.0.0 pulse.neurostreamlink10.cfd
0.0.0.0 dskcwz.com
0.0.0.0 clk.ourdream.ai
0.0.0.0 twimg.cash
0.0.0.0 aboveboardcomplicate.com
0.0.0.0 uproestup.sbs
0.0.0.0 lustygg.com
0.0.0.0 betus.com.pa
0.0.0.0 as-pet.ams3.cdn.digitaloceanspaces.com
0.0.0.0 lust-girls.com
0.0.0.0 wizensbuphaga.sh
0.0.0.0 happyleafmotion.com
0.0.0.0 offer-extensions.com
0.0.0.0 frhiys.com
0.0.0.0 trafficoza.com
0.0.0.0 kdmupcsngkdoz.website
0.0.0.0 edge.xtriks.com
0.0.0.0 freebestgames2025.com
0.0.0.0 b-short.link
0.0.0.0 go.gsrv.dev
0.0.0.0 kjfmvnuri.click
0.0.0.0 host69k.cfd
0.0.0.0 druggedrat.com
0.0.0.0 sv1291.space
0.0.0.0 ejretpiytkcna.website
0.0.0.0 sparrowcanned.com
0.0.0.0 dwlv.xyz
0.0.0.0 host40x.cfd
0.0.0.0 host72x.cfd
0.0.0.0 goodsstor.vip
0.0.0.0 heartlessanthemantiquity.com
0.0.0.0 figureraisinupper.com
0.0.0.0 motorshook.com
0.0.0.0 viidedss.com
0.0.0.0 grwdrkaqpxcna.website
0.0.0.0 host2y.cfd
0.0.0.0 host0y.cfd
0.0.0.0 pushfilefind.click
0.0.0.0 dropfastpath.click
0.0.0.0 rapidlinkhub.click
0.0.0.0 cdertf.cfd
0.0.0.0 galiysana.vip
0.0.0.0 hostk.cfd
0.0.0.0 dipperflightrecommend.com
0.0.0.0 stinafulltiukmep.org
0.0.0.0 parcelconsists.com
0.0.0.0 protect-myphone.com
0.0.0.0 sosalkebab.com
0.0.0.0 droplink.digital
0.0.0.0 flaegrudad.com
0.0.0.0 cloudshielders.com
0.0.0.0 tdcegypt.com
0.0.0.0 cractivator.com
0.0.0.0 update-macosx.com
0.0.0.0 orlovskyi.com
0.0.0.0 pixel-see.com
0.0.0.0 wissekeygroup.com
0.0.0.0 crakrevenue.xyz
0.0.0.0 wmctjd.com
0.0.0.0 buoydeparturediscontent.com
0.0.0.0 plush-abuse.com
0.0.0.0 obnoljac.com
0.0.0.0 zipup.click
0.0.0.0 cpmemes.cfd
0.0.0.0 fileescd.cfd
0.0.0.0 productdownload.pro
0.0.0.0 catoixeam.click
0.0.0.0 trgfx.b-cdn.net
0.0.0.0 westfile-dl.click
0.0.0.0 worshippers.store
0.0.0.0 lolostan.com
0.0.0.0 8s5s.com
0.0.0.0 nvpartnerspromo.com
0.0.0.0 semygruja.com
0.0.0.0 4bind2.cfd
0.0.0.0 splendlddate.com
0.0.0.0 tds.favbet.partners
0.0.0.0 pbl3citto.com
0.0.0.0 pnwrs5xz.click
0.0.0.0 kdnvieos.my
0.0.0.0 ufbcrgms.com
0.0.0.0 directone.xyz
0.0.0.0 dramaticsalad.com
0.0.0.0 debridleech.com
0.0.0.0 trckkkk.com
0.0.0.0 loowhujoom.net
0.0.0.0 glugherg.net
0.0.0.0 feckurteg.net
0.0.0.0 speedybytes.cfd
0.0.0.0 directsnap.click
0.0.0.0 land.izuchai.dance
0.0.0.0 wobbly-birth.com
0.0.0.0 movies-watch-time.club
0.0.0.0 jhu8u9.pro
0.0.0.0 fdolspwa.my
0.0.0.0 predictivadnetwork.com
0.0.0.0 tracking.pretrackings.com
0.0.0.0 eyewondermedia.com
0.0.0.0 my.toruftuiov.com
0.0.0.0 esvpnjdntgr.com
0.0.0.0 countabledawdlerunaudited.com
0.0.0.0 lmj8i.pro
0.0.0.0 ytru4.pro
0.0.0.0 get.stoplocker.com
0.0.0.0 globalwoldsinc.com
0.0.0.0 randomadsrv.com
0.0.0.0 crmentjg.com
