! Original: https://adguardteam.github.io/HostlistsRegistry/assets/filter_47.txt
! Version: 1.0.29.30
! Last modified: 2026-06-21T09:38:02.991Z
! Transformed by: https://github.com/IgorKha/mikrotik-adlist
0.0.0.0 vip.039-vip1.com
0.0.0.0 vip.039-vip6.com
0.0.0.0 cdnapiif.039casinocdnhd.com
0.0.0.0 cdnapiif.039cdndafa.com
0.0.0.0 cdntoos.039hdjscdn.com
0.0.0.0 cdntoos.039jiasuoss.com
0.0.0.0 web-119bet-2025-google-vip-119bet.119-hello.com
0.0.0.0 1paamr.12inr.com
0.0.0.0 images.1492929.com
0.0.0.0 togelgame.150m.com
0.0.0.0 images.1649348.com
0.0.0.0 web-166betcom-vip-166betcc-166betvip-2025fa-east1.166tiger.com
0.0.0.0 images.191829838.com
0.0.0.0 k6b7.1stlvyou.com
0.0.0.0 pixel-us.1winsa.com
0.0.0.0 i2.1xbet-azerbaycan.bet
0.0.0.0 benteng777.2024.mom
0.0.0.0 images.20241213.com
0.0.0.0 blackjack-online.20m.com
0.0.0.0 vip.222-pu.com
0.0.0.0 partner.2345qwe.com
0.0.0.0 sdvbhnjqyu.2405ert21.top
0.0.0.0 img.2538img.com
0.0.0.0 288t.288t55.com
0.0.0.0 wxf741-gov.299168.com
0.0.0.0 static.2q.photos
0.0.0.0 images.3138722.com
0.0.0.0 209.8.180.34.com
0.0.0.0 web-377bet-vip-2025-377betcom-377.377-hello.com
0.0.0.0 images.384894992.com
0.0.0.0 images.394993282.com
0.0.0.0 ntbmn0lthn33hoaox.483at.com
0.0.0.0 images.484930494.com
0.0.0.0 m.484betra.com
0.0.0.0 api.dodo.51yipo.com
0.0.0.0 images.5554287.com
0.0.0.0 bra.55ace.com
0.0.0.0 images.6440949940.com
0.0.0.0 65x.65x.space
0.0.0.0 688v.688v.run
0.0.0.0 google.688v.plus
0.0.0.0 play.688v.co
0.0.0.0 688v.688vuzi.com
0.0.0.0 ossone68.68winapi.com
0.0.0.0 ossonl68.68winapi.com
0.0.0.0 ossone68.68winoss.com
0.0.0.0 ossoniw86.68winoss.com
0.0.0.0 images.6929183.com
0.0.0.0 casino.6bets10.com
0.0.0.0 andcff6.6ffapi.com
0.0.0.0 ondcff6.6ffapi.com
0.0.0.0 andcff6.6ffcdn.com
0.0.0.0 ondcff6.6ffcdn.com
0.0.0.0 assoff6.6ffokk.com
0.0.0.0 ossoff6.6ffokk.com
0.0.0.0 assoff6.6ffoss.com
0.0.0.0 ossoff6.6ffoss.com
0.0.0.0 cdn.6xteam.com
0.0.0.0 web-707bet-com-vip-707betcom-2025-707bet.707-hello.com
0.0.0.0 play.777coelho.com
0.0.0.0 images.7814157.com
0.0.0.0 78win80-com.78winer.ca
0.0.0.0 freelive.7mvn.com
0.0.0.0 images.847830.com
0.0.0.0 ttgg.8848.pet
0.0.0.0 886v.886v22.com
0.0.0.0 slots.888wetten.de
0.0.0.0 cdn.888zfym.com
0.0.0.0 pv9g7x12i.888zfym.com
0.0.0.0 bsi3p.88zfym.com
0.0.0.0 cache88.8bocha.com
0.0.0.0 m.8k146sj.top
0.0.0.0 m.8k235sj.top
0.0.0.0 m.8k371sj.top
0.0.0.0 m.8k843sj.top
0.0.0.0 m.8k982sj.top
0.0.0.0 8usimages.8usyun.com
0.0.0.0 8usnew.8usyun.com
0.0.0.0 casinos.9-online.com
0.0.0.0 images.9734232.com
0.0.0.0 123.99kk.link
0.0.0.0 m.99kk.link
0.0.0.0 br.9dv1.com
0.0.0.0 abxz.9dw1c7n.com
0.0.0.0 dxhga.aaadxd.vip
0.0.0.0 aaa-weba.aaaweb.vip
0.0.0.0 ag.ab988.net
0.0.0.0 static.abc1txsa.com
0.0.0.0 sc.adelement.com
0.0.0.0 chance.adell-trading.cz
0.0.0.0 wintrading.ae.org
0.0.0.0 ic.aff-handler.com
0.0.0.0 media.affiliatestonybet.com
0.0.0.0 1xbet.africa.com
0.0.0.0 melbet.africafoot.com
0.0.0.0 www5858566668.ag4j.com
0.0.0.0 ipv4.aipytreck.com
0.0.0.0 ipv6.aipytreck.com
0.0.0.0 dailyforex-a.akamaihd.net
0.0.0.0 ats2.alicdnvip.net
0.0.0.0 ats3.alicdnvip.net
0.0.0.0 ats4.alicdnvip.net
0.0.0.0 ats6.alicdnvip.net
0.0.0.0 91a2c0front.alkacdb.cn
0.0.0.0 app-download.alltocon.com
0.0.0.0 img.alltocon.com
0.0.0.0 garuda138.amp-gg.com
0.0.0.0 starbet.d12nslf3d21fta.amplifyapp.com
0.0.0.0 mariobet89-com.cdn.ampproject.org
0.0.0.0 mariobet89-d-com.cdn.ampproject.org
0.0.0.0 maxwin50jt-betdewi-com.cdn.ampproject.org
0.0.0.0 i9.anhs.online
0.0.0.0 api.apisocketpro.club
0.0.0.0 games.apisocketpro.club
0.0.0.0 partouche-casino.app-searcher.com
0.0.0.0 ad.app8.top
0.0.0.0 admiralx-casino-ru.appspot.com
0.0.0.0 casino-meg.appspot.com
0.0.0.0 casino-mega-777.appspot.com
0.0.0.0 casino-my.appspot.com
0.0.0.0 gambino-apps.appspot.com
0.0.0.0 gifts-dot-gambino-apps.appspot.com
0.0.0.0 slot-dom.appspot.com
0.0.0.0 jackpotraider.aramuz.net
0.0.0.0 katanaspin.aramuz.net
0.0.0.0 ns-coolzino.aramuz.net
0.0.0.0 api.atpman.net
0.0.0.0 api100.atpman.net
0.0.0.0 cfg.atpman.net
0.0.0.0 wssport.atpman.net
0.0.0.0 bison-casino.auto.pl
0.0.0.0 cdn.avcjtodj.com
0.0.0.0 cdn65.avcjtodj.com
0.0.0.0 supercasino.axome.com
0.0.0.0 abandonthegrind.b-cdn.net
0.0.0.0 absolutebriopainting.b-cdn.net
0.0.0.0 aimautotinting.b-cdn.net
0.0.0.0 chance.b-cdn.net
0.0.0.0 izin-kink.b-cdn.net
0.0.0.0 macao777.b-cdn.net
0.0.0.0 manajercity-noy10.b-cdn.net
0.0.0.0 pasarslot.b-cdn.net
0.0.0.0 rgv-employmentlawyer.b-cdn.net
0.0.0.0 rtpkayabet99-0.b-cdn.net
0.0.0.0 rtpslotpoker3.b-cdn.net
0.0.0.0 situs-slot.b-cdn.net
0.0.0.0 slot88-rank1.b-cdn.net
0.0.0.0 stay-humble-eh.b-cdn.net
0.0.0.0 img.b112j.com
0.0.0.0 jxpicture.b1k3q6.com
0.0.0.0 images.b332411.com
0.0.0.0 images.b51613.com
0.0.0.0 api4.b5bakipcols.info
0.0.0.0 api6.b5bakipcols.info
0.0.0.0 api4.b5ipcoleser.net
0.0.0.0 api6.b5ipcoleser.net
0.0.0.0 images.b728484.com
0.0.0.0 images.b771960.com
0.0.0.0 game.baccdn.com
0.0.0.0 static-mobile.baitaowang.com
0.0.0.0 poker.balkanbet.com
0.0.0.0 fr.bananalotto.com
0.0.0.0 landpage.bancamobileapp.com
0.0.0.0 feb.barunatoto.net
0.0.0.0 halloween-fe.bazooki-infra.dev
0.0.0.0 oficial.bbttbet888.com
0.0.0.0 bela-bet.beepworld.de
0.0.0.0 bet-pro.beepworld.de
0.0.0.0 golden-betting.beepworld.de
0.0.0.0 tipser-viktor.beepworld.de
0.0.0.0 matomo.ben-cloud.com
0.0.0.0 sentry.ben-cloud.com
0.0.0.0 api.bencloud.io
0.0.0.0 api.bencloud.xyz
0.0.0.0 game.bencloud.io
0.0.0.0 api.dodo.bet23af.com
0.0.0.0 maxwin50jt.betdewi.com
0.0.0.0 play.betflix-169.com
0.0.0.0 wildcard.betflix-169.com
0.0.0.0 play.betoranje2.com
0.0.0.0 cache.bhara88.com
0.0.0.0 beton-casino.biz.ua
0.0.0.0 bisoncasino.biz.pl
0.0.0.0 cactuscasino.biz.pl
0.0.0.0 casino.biz.pl
0.0.0.0 delorocasino.biz.pl
0.0.0.0 dragonslots.biz.pl
0.0.0.0 irwincasino.biz.pl
0.0.0.0 malina-casino-pl.biz.pl
0.0.0.0 martincasino.biz.pl
0.0.0.0 slotsvader-casino.biz.pl
0.0.0.0 voxcasino.biz.pl
0.0.0.0 001fxh9-fe-source.bjravv03.com
0.0.0.0 001fxh9-tiger-fluid.bjravv03.com
0.0.0.0 secure.bkbet.eu
0.0.0.0 play.blitz-go.bet
0.0.0.0 masterjudi.blog.com
0.0.0.0 ohacasino.blog.br
0.0.0.0 1x2spain.blogspot.com
0.0.0.0 agenslot88win.blogspot.com
0.0.0.0 analisishipicoprimate.blogspot.com
0.0.0.0 best-cashbar.blogspot.com
0.0.0.0 dimensionganadora.blogspot.com
0.0.0.0 folletohipicodigital.blogspot.com
0.0.0.0 france1x2.blogspot.com
0.0.0.0 gacetahipicagratis.blogspot.com
0.0.0.0 gentlemans1x2.blogspot.com
0.0.0.0 germany1-2.blogspot.com
0.0.0.0 guiahipicaelpotroalex.blogspot.com
0.0.0.0 hipicasenvivo.blogspot.com
0.0.0.0 inbethorses.blogspot.com
0.0.0.0 k9inr.blogspot.com
0.0.0.0 lpr08gacor.blogspot.com
0.0.0.0 lpr09gacor.blogspot.com
0.0.0.0 lpr10gacor.blogspot.com
0.0.0.0 mansionhipica.blogspot.com
0.0.0.0 nhacai8xbet1.blogspot.com
0.0.0.0 premium1x2.blogspot.com
0.0.0.0 siempreenlapomada.blogspot.com
0.0.0.0 suntotomattappa.blogspot.com
0.0.0.0 tf88comcom.blogspot.com
0.0.0.0 thetrueone1x2.blogspot.com
0.0.0.0 live.boatcast.jp
0.0.0.0 dk.bongda2q.life
0.0.0.0 m.boomerang-casino-7776.com
0.0.0.0 1-win.br.com
0.0.0.0 1-wins.br.com
0.0.0.0 1win.br.com
0.0.0.0 1winbr.br.com
0.0.0.0 755bets.br.com
0.0.0.0 bettina.br.com
0.0.0.0 iwin.br.com
0.0.0.0 mostbet.br.com
0.0.0.0 onabet.br.com
0.0.0.0 sebet.br.com
0.0.0.0 snatchcasino.br.com
0.0.0.0 starbets.br.com
0.0.0.0 record.brave158.com
0.0.0.0 record.brave888.com
0.0.0.0 api.btyseo.com
0.0.0.0 blackjackdoc.business.site
0.0.0.0 on.bwin.ca
0.0.0.0 loutraki.bxgameap.com
0.0.0.0 tvcads.tos-ap-southeast-1.bytepluses.com
0.0.0.0 pubsgppp.c1oudfront.com
0.0.0.0 pubusppp.c1oudfront.com
0.0.0.0 api.c3-tool.com
0.0.0.0 static-fe.c3-tool.com
0.0.0.0 tracking.c3-tool.com
0.0.0.0 api.c5l1t57.site
0.0.0.0 casinoru.call2me.pro
0.0.0.0 xrykxbeta.canadapostdeepakchopra.ca
0.0.0.0 greeniebins.canary.nz
0.0.0.0 v2htohzhjo.cariepictoto.pro
0.0.0.0 jlphillipscreations.carrd.co
0.0.0.0 barriere-casino.cash-games-top.com
0.0.0.0 fdj.casino-life.online
0.0.0.0 online.casinocity.com
0.0.0.0 nl.casinonlinenieuwe.com
0.0.0.0 puh.casinostream.live
0.0.0.0 landpage.caygame2023.com
0.0.0.0 c4.cc44c88.com
0.0.0.0 1win.cdisgr.org
0.0.0.0 cmy.mb.cdn-bebo.com
0.0.0.0 hhj.mb.cdn-bebo.com
0.0.0.0 ktm.mb.cdn-bebo.com
0.0.0.0 lcj.mb.cdn-bebo.com
0.0.0.0 lmo.mb.cdn-bebo.com
0.0.0.0 tai.mb.cdn-bebo.com
0.0.0.0 xhi.mb.cdn-bebo.com
0.0.0.0 xnj.mb.cdn-bebo.com
0.0.0.0 yrb.mb.cdn-bebo.com
0.0.0.0 yxg.mb.cdn-bebo.com
0.0.0.0 cma.pt.cdn-bebo.com
0.0.0.0 cmy.pt.cdn-bebo.com
0.0.0.0 coc.pt.cdn-bebo.com
0.0.0.0 coj.pt.cdn-bebo.com
0.0.0.0 gyd.pt.cdn-bebo.com
0.0.0.0 hhr.pt.cdn-bebo.com
0.0.0.0 huo.pt.cdn-bebo.com
0.0.0.0 igk.pt.cdn-bebo.com
0.0.0.0 ktm.pt.cdn-bebo.com
0.0.0.0 lcj.pt.cdn-bebo.com
0.0.0.0 lcz.pt.cdn-bebo.com
0.0.0.0 lmo.pt.cdn-bebo.com
0.0.0.0 ofg.pt.cdn-bebo.com
0.0.0.0 pcv.pt.cdn-bebo.com
0.0.0.0 rma.pt.cdn-bebo.com
0.0.0.0 xhi.pt.cdn-bebo.com
0.0.0.0 xnj.pt.cdn-bebo.com
0.0.0.0 ycr.pt.cdn-bebo.com
0.0.0.0 ygk.pt.cdn-bebo.com
0.0.0.0 yxg.pt.cdn-bebo.com
0.0.0.0 haon-jpnext.cdn-bebo.com
0.0.0.0 haon-seoulnext.cdn-bebo.com
0.0.0.0 cxy.mb.cdn-dysxb.com
0.0.0.0 fgh.mb.cdn-dysxb.com
0.0.0.0 fgq.mb.cdn-dysxb.com
0.0.0.0 hmw.mb.cdn-dysxb.com
0.0.0.0 hwx.mb.cdn-dysxb.com
0.0.0.0 pvt.mb.cdn-dysxb.com
0.0.0.0 rvi.mb.cdn-dysxb.com
0.0.0.0 wyw.mb.cdn-dysxb.com
0.0.0.0 zkt.mb.cdn-dysxb.com
0.0.0.0 fpx.mn.cdn-dysxb.com
0.0.0.0 bdo.pt.cdn-dysxb.com
0.0.0.0 blf.pt.cdn-dysxb.com
0.0.0.0 blt.pt.cdn-dysxb.com
0.0.0.0 cne.pt.cdn-dysxb.com
0.0.0.0 cxy.pt.cdn-dysxb.com
0.0.0.0 cxy1.pt.cdn-dysxb.com
0.0.0.0 eck.pt.cdn-dysxb.com
0.0.0.0 efj.pt.cdn-dysxb.com
0.0.0.0 eib.pt.cdn-dysxb.com
0.0.0.0 esw.pt.cdn-dysxb.com
0.0.0.0 euy.pt.cdn-dysxb.com
0.0.0.0 exu.pt.cdn-dysxb.com
0.0.0.0 fgh.pt.cdn-dysxb.com
0.0.0.0 fgq.pt.cdn-dysxb.com
0.0.0.0 flm.pt.cdn-dysxb.com
0.0.0.0 fpx.pt.cdn-dysxb.com
0.0.0.0 fty.pt.cdn-dysxb.com
0.0.0.0 gcb.pt.cdn-dysxb.com
0.0.0.0 hmw.pt.cdn-dysxb.com
0.0.0.0 hpb.pt.cdn-dysxb.com
0.0.0.0 hwx.pt.cdn-dysxb.com
0.0.0.0 kum.pt.cdn-dysxb.com
0.0.0.0 pzl.pt.cdn-dysxb.com
0.0.0.0 rvi.pt.cdn-dysxb.com
0.0.0.0 wxg.pt.cdn-dysxb.com
0.0.0.0 wyw.pt.cdn-dysxb.com
0.0.0.0 haon-jp.cdn-dysxb.com
0.0.0.0 haon-seoul.cdn-dysxb.com
0.0.0.0 sultan69.cdncode.org
0.0.0.0 portal.chamhoc.store
0.0.0.0 bet.championat.com
0.0.0.0 casino.chelseapalace.com
0.0.0.0 climatesmart.citieschallenge.org
0.0.0.0 ipv4.closwbay9bak.org
0.0.0.0 ipv6.closwbay9bak.org
0.0.0.0 uywe88soa.cloudcdnetw.com
0.0.0.0 ladbrokes.be.cdn.cloudflare.net
0.0.0.0 ladbrokesbelgium.be.cdn.cloudflare.net
0.0.0.0 betboo.bet.br.cdn.cloudflare.net
0.0.0.0 betboo.com.cdn.cloudflare.net
0.0.0.0 betmgm.com.cdn.cloudflare.net
