! Original: https://adguardteam.github.io/HostlistsRegistry/assets/filter_10.txt
! Version: 1.0.21.25
! Last modified: 2026-07-05T08:42:21.095Z
! Transformed by: https://github.com/IgorKha/mikrotik-adlist
0.0.0.0 1stfinancefirm.wixsite.com
0.0.0.0 1stireland.com
0.0.0.0 1sttheworld.com
0.0.0.0 270278609-2020004278-462904544-440202503325--570202500372x-usps.com
0.0.0.0 365analytics.xyz
0.0.0.0 3ab48a20-acaa-49ab-95cc-3eb16f1cda78-00-1a0l3yf6hw9aq.sisko.replit.dev
0.0.0.0 3ae52b08mbt3oxw4zh32q5-z5m.hop.clickbank.net
0.0.0.0 42gixk.98kk89.com
0.0.0.0 4556.de
0.0.0.0 47n78xprrvp1.top
0.0.0.0 5wzgtq8dpk.com
0.0.0.0 65spy7rgcu.com
0.0.0.0 7ng6v3lu3c.execute-api.us-east-1.amazonaws.com
0.0.0.0 93mobiles.com
0.0.0.0 9vyzdk8.lvditoys.com
0.0.0.0 9vzn29.98kk89.com
0.0.0.0 accbing.com
0.0.0.0 adflowtube.com
0.0.0.0 adidasko.com
0.0.0.0 adminicesm.life
0.0.0.0 affordableforyouusa5.godaddysites.com
0.0.0.0 afiletoget.click
0.0.0.0 air-up-turkiye.com
0.0.0.0 airteltower.com
0.0.0.0 airtoff.com
0.0.0.0 airup-romania.com
0.0.0.0 airupgreece.net
0.0.0.0 airupsrbija.com
0.0.0.0 aizipai.cn
0.0.0.0 alindflepkaty14.pages.dev
0.0.0.0 aliyaoberbrunnergreg21.myshopify.com
0.0.0.0 all-tube.pl
0.0.0.0 allergyfl.com
0.0.0.0 allnewsready.com
0.0.0.0 allstarshirt.com
0.0.0.0 allupdatenow.com
0.0.0.0 altruetech.com
0.0.0.0 altwi-zgs.com
0.0.0.0 amorpulse.com
0.0.0.0 animeshoppers.com
0.0.0.0 anydebrid.com
0.0.0.0 aoptee.com
0.0.0.0 appdrive.info
0.0.0.0 arduino.uk.eu.org
0.0.0.0 army-shop.onshopbase.com
0.0.0.0 arnoldgloverruss58.myshopify.com
0.0.0.0 arthoodie.com
0.0.0.0 arvetellefsen.no
0.0.0.0 assassinfitness.com
